iorig,x,y,z,vx,vy,vz,u,h,alpha,divv
18,0.26953125,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,0.09924795345980365,0.0,3.749805137617738,0.019106261,0.0,-2.0143376e-07
19,0.28515625,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,0.09757021300372531,0.0,3.749805137617738,0.019106261,0.0,-1.9802863e-07
20,0.30078125,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,0.09495281805911107,0.0,3.749805137617738,0.019106261,0.0,-1.9271636e-07
21,0.31640625,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,0.09142097557009132,0.0,3.749805137617738,0.019106261,0.0,-1.8554813e-07
22,0.33203125,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,0.08700869911053706,0.0,3.749805137617738,0.019106261,0.0,-1.7659296e-07
23,0.34765625,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,0.08175848131474972,0.0,3.749805137617738,0.019106261,0.0,-1.6593711e-07
24,0.36328125,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,0.07572088465016408,0.0,3.749805137617738,0.019106261,0.0,-1.536832e-07
25,0.37890625,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,0.0689540544731465,0.0,3.749805137617738,0.019106261,0.0,-1.3994924e-07
26,0.39453125,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,0.06152315905742776,0.0,3.749805137617738,0.019106261,0.0,-1.2486748e-07
27,0.41015625,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,0.05349976198800234,0.0,3.749805137617738,0.019106261,0.0,-1.0858318e-07
28,0.42578125,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,0.044961132964684285,0.0,3.749805137617738,0.019106261,0.0,-9.125317e-08
29,0.44140625,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,0.035989503652658114,0.0,3.749805137617738,0.019106261,0.0,-7.304434e-08
30,0.45703125,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,0.02667127574659066,0.0,3.749805137617738,0.019106261,0.0,-5.4132055e-08
31,0.47265625,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,0.01709618887507945,0.0,3.749805137617738,0.019106261,0.0,-3.4698445e-08
32,0.48828125,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,0.007356456358972673,0.0,3.749805137617738,0.019106261,0.0,-1.4930674e-08
33,0.50390625,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,-0.002454122853319587,0.0,3.749805137617738,0.019106261,0.0,4.980891e-09
34,0.51953125,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,-0.01224106752097421,0.0,3.749805137617738,0.019106261,0.0,2.4844486e-08
35,0.53515625,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,-0.021910124016752897,0.0,3.749805137617738,0.019106261,0.0,4.4468816e-08
36,0.55078125,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,-0.03136817404095676,0.0,3.749805137617738,0.019106261,0.0,6.3664885e-08
37,0.56640625,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,-0.04052413140155605,0.0,3.749805137617738,0.019106261,0.0,8.224783e-08
38,0.58203125,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,-0.0492898192240122,0.0,3.749805137617738,0.019106261,0.0,1.00038676e-07
39,0.59765625,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,-0.05758081914278203,0.0,3.749805137617738,0.019106261,0.0,1.16866104e-07
40,0.61328125,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,-0.06531728429632566,0.0,3.749805137617738,0.019106261,0.0,1.3256805e-07
41,0.62890625,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,-0.07242470829603195,0.0,3.749805137617738,0.019106261,0.0,1.4699327e-07
42,0.64453125,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,-0.07883464276347008,0.0,3.749805137617738,0.019106261,0.0,1.6000288e-07
43,0.66015625,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,-0.0844853565256917,0.0,3.749805137617738,0.019106261,0.0,1.7147158e-07
44,0.67578125,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,-0.08932243012017177,0.0,3.749805137617738,0.019106261,0.0,1.8128891e-07
45,0.69140625,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,-0.09329927988398186,0.0,3.749805137617738,0.019106261,0.0,1.8936034e-07
46,0.70703125,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,-0.09637760657992894,0.0,3.749805137617738,0.019106261,0.0,1.9560811e-07
47,0.72265625,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,-0.09852776423914633,0.0,3.749805137617738,0.019106261,0.0,1.9997208e-07
48,0.73828125,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,-0.0997290456679799,0.0,3.749805137617738,0.019106261,0.0,2.0241019e-07
49,0.75390625,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,-0.09996988186958267,0.0,3.749805137617738,0.019106261,0.0,2.02899e-07
50,0.76953125,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,-0.09924795345967871,0.0,3.749805137617738,0.019106261,0.0,2.0143376e-07
51,0.78515625,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,-0.09757021300350169,0.0,3.749805137617738,0.019106261,0.0,1.9802863e-07
52,0.80078125,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,-0.09495281805879091,0.0,3.749805137617738,0.019106261,0.0,1.9271636e-07
53,0.81640625,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,-0.0914209755696777,0.0,3.749805137617738,0.019106261,0.0,1.8554813e-07
54,0.83203125,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,-0.08700869911003399,0.0,3.749805137617738,0.019106261,0.0,1.7659296e-07
55,0.84765625,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,-0.08175848131416201,0.0,3.749805137617738,0.019106261,0.0,1.6593711e-07
56,0.86328125,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,-0.07572088464949742,0.0,3.749805137617738,0.019106261,0.0,1.536832e-07
57,0.87890625,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,-0.06895405447240727,0.0,3.749805137617738,0.019106261,0.0,1.3994924e-07
58,0.89453125,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,-0.06152315905662314,0.0,3.749805137617738,0.019106261,0.0,1.2486748e-07
59,0.91015625,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,-0.05349976198714001,0.0,3.749805137617738,0.019106261,0.0,1.0858318e-07
60,0.92578125,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,-0.044961132963772625,0.0,3.749805137617738,0.019106261,0.0,9.125317e-08
61,0.94140625,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,-0.03598950365170582,0.0,3.749805137617738,0.019106261,0.0,7.304434e-08
62,0.95703125,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,-0.026671275745606987,0.0,3.749805137617738,0.019106261,0.0,5.4132055e-08
63,0.97265625,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,-0.017096188874073798,0.0,3.749805137617738,0.019106261,0.0,3.4698445e-08
